Name,Url,"Fork source","Creation date","Last update","Last version",Upgradable,"Min version","Max version",Module,"Module url",Note,Omeka.org,"Omeka min","Omeka target",Author,License,Description,Tags,Link,"Support link","Required plugins","Optional plugins","Ini path","Last released zip"
"Accessibility Plus",https://github.com/DigitalCarleton/AccessibilityPlus,,2018-04-18T01:56:58Z,2022-05-03T18:56:08Z,1.0,,,,,,,,2.7,,"Alec Wang, Austin Mason, & Chris Padilla",,"AccessibilityPlus is an Omeka plugin designed to improve the accessibility features of Omeka sites.",accessibility,https://github.com/DigitalCarleton/AccessibilityPlus,,,,,
"Access Keys",https://github.com/AccessibleFuture/AccessKeys-Omeka,,2013-10-08T17:38:23Z,2015-04-11T18:12:48Z,1.2,,,,,,,,2.0,2.0,"AccessibleFutures.org / Cory Bohon",,"Allows an Omeka administrator to specify site-wide keyboard shortcuts for blind or visually impaired end users.","accessibility, access keys, universal access, accessiblefutures.org, braillesc.org, cory bohon",http://accessiblefutures.org/plugins.html,,,,,
"Add Item Link",https://github.com/lmullen/plugin-AddItem,,2013-03-26T03:24:11Z,2023-01-27T21:13:10Z,0.1,,,,,,,0.1,2.0,,"Lincoln A. Mullen",GPLv3,"Add an add item link to the admin bar",,https://github.com/lmullen/plugin-AddItem,https://github.com/lmullen/plugin-AddItem/issues,,,,
"Add Subtitle",https://github.com/annamichelle/AddSubtitle,,2014-11-12T21:56:57Z,2014-11-13T17:06:06Z,0.1.0,,,,,,,,2.0,,"Anna Michelle Martinez-Montavon",GPLv3,"Add a field to the Exhibit database table. (You'll have to make changes in Exhibit Builder to be able to access and make changes to this field, sorry.)","metadata, exhibits",http://omeka.org/,http://omeka.org/forums/,,,,
AddThis,https://github.com/libis/plugin-AddThis,,2013-03-06T09:12:28Z,2016-03-24T20:09:07Z,0.1,Yes,,,Sharing,https://github.com/omeka-s-modules/Sharing,"Only common social networks (Facebook, Twitter, Pinterest, Tumblr, email) and embed, but not AddThis.",,1.0,1.3.2,Libis,,"Adds the Addthis button/script to Omeka","social, presentation",,,,,,
"Admin Analytics",https://github.com/ebellempire/AdminAnalytics,,2016-10-13T20:21:05Z,2016-10-18T00:35:00Z,1.0,Yes,,,"Analytics Snippet",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippet,"Analytics Snippet supports public and admin side of the site, together or separately.",,2.0,2.4,"Erin Bell",GPLv3,"An Omeka  plugin that tracks usage of the admin panel, potentially useful for project managers and teachers who wish to track logins and usage patterns.","google analytics, analytics, users, admin",http://erinbell.org,https://support.google.com/analytics/answer/3123666,,,,
"Admin Images",https://github.com/UCSCLibrary/AdminImages,,2015-03-13T18:14:54Z,2024-04-24T03:29:57Z,1.6,Yes,,,[Integrated],,"Assets in Omeka S.",1.3,2.1,,"UC Santa Cruz University Library and Daniele Binaghi",GPLv3,"Allows administrators to upload images not attached to Items for use in carousels and Simple Pages",,https://github.com/UCSCLibrary/AdminImages,https://github.com/UCSCLibrary/AdminImages/issues,,,,https://github.com/UCSCLibrary/AdminImages/releases/download/1.6/AdminImages.zip
adminMessage,https://github.com/libmanuk/adminMessage,,2018-05-16T21:48:09Z,2018-09-19T18:41:40Z,0.0.0,,,,,,,,2.0,,"Eric C. Weig",MIT,"Displays custom message on admin item show pages.",,https://github.com,https://github.com/,,,,
"Admin Tools",https://github.com/DBinaghi/plugin-AdminTools,,2022-10-01T16:21:33Z,2022-11-18T01:36:58Z,1.6,,,,,,,,3.0,,"Daniele Binaghi et al.","CeCILL v2.1","Various administrative tools, previously available in different minor plugins.",,https://github.com/DBinaghi/plugin-AdminTools,https://github.com/DBinaghi/plugin-AdminTools/issues,,,,https://github.com/DBinaghi/plugin-AdminTools/releases/download/v1.6/AdminTools.zip
"Admin User Management",https://github.com/lib-uoguelph-ca/omeka-admin-user-management,,2016-04-15T17:52:38Z,2021-02-15T14:38:58Z,1.0,Yes,,,[Integrated],,,,2.0,,"Adam Doan",GPLv3,"Allows administrative users to manage users.",acl,https://github.com/lib-uoguelph-ca/omeka-admin-user-management,https://github.com/lib-uoguelph-ca/omeka-admin-user-management/issues,,,,
