Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka constraint",Author,"Author link",License,Description,Tags,Link,"Support link","Ini path","Last released zip",Dependencies,"Directory name","Count versions","Total downloads"
Access,https://github.com/Daniel-KM/Omeka-S-module-Access,,2020-01-20T18:58:41Z,2025-11-10T20:03:54Z,3.4.35,,^4.1.0,"Daniel Berthereau",https://gitlab.com/Daniel-KM,CECILL-2.1,"Allow a visitor or a user to access to selected reserved resources via a request, an ip check, an authentication, or a token.","access, protection, copyright",https://gitlab.com/Daniel-KM/Omeka-S-module-Access,https://gitlab.com/Daniel-KM/Omeka-S-module-Access/-/issues,,https://github.com/Daniel-KM/Omeka-S-module-Access/releases/download/3.4.35/Access-3.4.35.zip,,Access,34,10246
"Activity Log",https://github.com/omeka-s-modules/ActivityLog,,2025-04-09T03:08:30Z,2025-11-06T23:56:33Z,1.0.1,,^4.0.0,"Omeka Team",https://omeka.org/,,"Monitor user activity",,https://omeka.org/s/docs/user-manual/modules/activitylog/,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/ActivityLog/releases/download/v1.0.1/ActivityLog-1.0.1.zip,,ActivityLog,2,
"Adminer database manager",https://github.com/Daniel-KM/Omeka-S-module-Adminer,,2023-06-14T19:40:39Z,2025-09-29T08:41:57Z,3.4.9-5.4.1,,"^3.1.0 || ^4.0.0","Daniel Berthereau",https://gitlab.com/Daniel-KM,CECILL-2.1,"Access to Omeka database through Adminer, a one-file full-featured database management tool.","administration, development",https://gitlab.com/Daniel-KM/Omeka-S-module-Adminer,https://gitlab.com/Daniel-KM/Omeka-S-module-Adminer/-/issues,,https://github.com/Daniel-KM/Omeka-S-module-Adminer/releases/download/3.4.9-5.4.1/Adminer-3.4.9-5.4.1.zip,,Adminer,8,1058
"Admin Plus",https://github.com/GhentCDH/Omeka-S-module-AdminPlus,,2022-02-21T11:03:08Z,2025-11-26T19:07:12Z,3.0.3,,^3,GhentCDH,https://github.com/ghentcdh,,"Admin improvements",,,,,,,AdminPlus,,
"Advanced Resource Template",https://github.com/Daniel-KM/Omeka-S-module-AdvancedResourceTemplate,,2022-02-14T08:50:35Z,2025-11-21T07:57:52Z,3.4.48,,^4.0.0,"Daniel Berthereau",https://gitlab.com/Daniel-KM,CECILL-2.1,"Add new features to the resource templates to simplify and to improve the edition of resources: closed template, auto-completion, property groups, select language, lock, auto-filling, etc.","admin, resource edition, curation",https://gitlab.com/Daniel-KM/Omeka-S-module-AdvancedResourceTemplate,https://gitlab.com/Daniel-KM/Omeka-S-module-AdvancedResourceTemplate/-/issues,,https://github.com/Daniel-KM/Omeka-S-module-AdvancedResourceTemplate/releases/download/3.4.48/AdvancedResourceTemplate-3.4.48.zip,,AdvancedResourceTemplate,42,8770
"Advanced Search",https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearch,,2021-08-24T11:36:02Z,2025-10-26T13:28:11Z,3.4.53,,^4.1.0,"Daniel Berthereau",https://gitlab.com/Daniel-KM,"CeCILL v2.1","Improve search with new fields, aggregated properties, auto-suggest, filters, facets, specific pages, etc.","search, advanced search, auto-suggest, filter, facet, admin, curation",https://gitlab.com/Daniel-KM/Omeka-S-module-AdvancedSearch,https://gitlab.com/Daniel-KM/Omeka-S-module-AdvancedSearch/-/issues,,https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearch/releases/download/3.4.53/AdvancedSearch-3.4.53.zip,Common,AdvancedSearch,70,6997
"Advanced Search adapter for Solr",https://github.com/Daniel-KM/Omeka-S-module-SearchSolr,https://github.com/Daniel-KM/Omeka-S-module-Solr,2020-04-27T20:04:51Z,2025-10-24T17:13:18Z,3.5.60,,^4.1.0,"Daniel Berthereau",https://gitlab.com/Daniel-KM,CECILL-2.1,"Search Omeka resources instantly and deeply on any server with Apache Solr / Lucene, via the library Solarium","Solr, Lucene, search, facet, filter, indexation, auto-suggestion",https://gitlab.com/Daniel-KM/Omeka-S-module-SearchSolr,https://gitlab.com/Daniel-KM/Omeka-S-module-SearchSolr/-/issues,,https://github.com/Daniel-KM/Omeka-S-module-SearchSolr/releases/download/3.5.60/SearchSolr-3.5.60.zip,AdvancedSearch,SearchSolr,48,1106
"Advanced Search Plus (archived, replaced by Advanced Search)",https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus,,2018-05-21T06:31:55Z,2023-06-13T18:34:26Z,3.3.5.7,,^3.0.0,"Daniel Berthereau",https://gitlab.com/Daniel-KM,"CeCILL v2.1","Add some fields to the advanced search form (before/after creation date, has media, media type, etc.).","search, admin, curation",https://gitlab.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus,https://gitlab.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus/-/issues,,https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus/releases/download/3.3.5.7/AdvancedSearchPlus-3.3.5.7.zip,,AdvancedSearchPlus,11,2808
"Agile Tools",https://github.com/agile-humanities/agile-theme-tools-omeka,,2020-05-27T18:44:43Z,2023-11-16T20:32:26Z,1.0.1,,^2.0.0,"Agile Humanities Agency",https://www.agilehumanities.ca,"CeCILL v2.1","Adds blocks and tools for Omeka theming, including page regions, card layouts, and an implmentation of Slick Carousel.",blocks,https://www.agilehumanities.ca/link-to-come,https://www.agilehumanities.ca/link-to-come,,,,agiletools,,
"Agile Tools",https://github.com/agile-humanities/AgileThemeTools,,2023-11-16T20:44:12Z,2025-03-06T18:04:18Z,1.3.1,,^4.1.0,"Agile Humanities Agency",https://www.agilehumanities.ca,"CeCILL v2.1","Adds blocks and tools for Omeka theming, including page regions, card layouts, and an implementation of Slick Carousel.",blocks,https://www.agilehumanities.ca,https://www.agilehumanities.ca,,https://github.com/agile-humanities/AgileThemeTools/releases/download/v1.3.0/AgileThemeTools.zip,"AdvancedSearch Common IiifServer ImageServer Log Mirador",AgileTools,1,
