Access	3.4.33
ActivityLog	1.0.0
Adminer	3.4.8-5.3.0
AdminPlus	3.0.3
AdvancedResourceTemplate	3.4.43
AdvancedSearch	3.4.49
SearchSolr	3.5.58
AdvancedSearchPlus	3.3.5.7
AgileTools	1.3.1
AiGenerator	3.4.1
AllinOneAccessibility	1.0
AlternativeLabelSelect	3.4.1
Alto	0.2.0
AltText	1.3.0
AmazonS3	3.4.4
AmazonS3Storage	1.0.0
AnalyticsSnippet	3.4.5
AnalyticsSnippetPiwik	3.4.8
Annotate	3.4.10
Cartography	3.4.3
AnyCloud	3.2.1
ApiInfo	3.4.11
ArchiveFolder	2.4
ArchiveRepertory	3.15.17
Ark	3.5.15
ArkURL	0.3.0
AssetMulti	3.4.1
AuthCAS	1.0.2
BACE	3.4.1
BannerImage	1.0
Base	0.1.0
Basket	3.2.4
Bibliography	3.4.12
BiblionumberSupport	0.2.0
BlockLayoutSkeleton	0.1.0
BlockPlus	3.4.40
BlocksDisposition	3.4.4
BulkCheck	3.3.11
BulkEdit	3.4.35
BulkExport	3.4.36
BulkImport	3.4.58
BulkImportFiles	3.4.8
BUMaps	0.0.1
CacheNavigation	3.4.0
CartoAffect	0.1.9
CAS	0.6.2
CatalogSearch	0.1.0
ChaoticumSeminario	0.0.11
CiteShare	1.0.0
Citing	1.0.0
CleanUrl	3.17.10
CmapImport	0.0.2
COinS	3.1.0
Collecting	1.12.1
CollectingTogether	0.1.0
ColumbO	0.1.4
SColumnsMaker	0.0.1
Comment	3.4.13
Common	3.4.70
ConnectedSites	1.0
ContactUs	3.4.25
ContentReader	1.0.0
Contribute	3.4.32
CopIdRef	3.4.12
CopyResources	1.0.1
Correction	3.0.11
CreateMissingThumbnails	0.3.0
CSSEditor	3.0.2
CSVImport	2.2.1
CustomAdvancedSearch	0.0.1
CustomFloat	1.0
CustomOntology	3.4.6
CustomVocab	2.0.2
DataCleaning	1.1.0
DataRepositoryConnector	1.3.0
DataScribe	1.1.0
DataScribeDataTypes	0.1.0
DataTypeClass	1.0.0
DataTypeGeometry	3.4.5
DataTypePlace	3.4.2
DataTypeRDF	3.4.14
Datavis	1.4.0
dclmisc	1.0.3
Deduplicate	3.4.5
DerivativeImages	3.3.8
DerivativeMedia	3.5.1
DiigoImport	0.0.7
DiskQuota	0.0.0
Diva	3.3.2.3
DocArchive	2.1.0
DomainManager	2.0.0
rrchnmdonate	1.0.1
DspaceConnector	1.1.0
DynamicItemSets	3.4.5
EAD	3.0.4
EADImport	1.2.1
EasyAdmin	3.4.33
EasyInstall	3.3.7
Ebook	3.4.10
EhpSearchForm	1.3.0
EUCookieBar	3.4.5
ExhibitList	1.0
ExploratoryMap	1.0
ExploratoryText	1.2
Export	1.6.0
ExportIcons	1.0.0
ExtendedSiteDescription	0.2.0
ExtractMetadata	1.2.0
ExtractOcr	3.4.7
ExtractText	2.1.0
FacetedBrowse	1.8.0
FacetedSearch	0.1.0
Favorite	0.0.1
FedoraConnector	1.1.0
Feed	3.4.6
FieldAsTags	1.1.0
FileGate	0.1.0
FileSideload	1.7.1
FIT	1.4.1
FixCjkSearch	4.1.0
FluentAPI	0.3
Folksonomy	3.4.12
Footnotes	3.3.0.2-3.4.1
FreeSpace	1.0.1
Generic	3.4.47
GestionFormation	0.0.1
GoogleAnalytics	1.3.2
GoogleTagManager	1.0.0
Group	3.4.7
GroupEdit	1.0
Guest	3.4.38
GuestApi	3.4.5
GuestPrivate	3.4.7
GuestRole	0.3.1
GuestUser	0.1
generateur	4.0.2
HelloWorld	0.1.7
HideProperties	1.3.1
HideSiteProperties	1.0.0
HBrowser	1.0.0
Hierarchy	1.1.2
HistoryLog	3.4.10-beta-7
bannerMessage	1.0.1
IdRef	0.1.0
IDResolver	1.0.0
IIIFDownload	1.0.1
IIIFHosting	1.0.0-beta
IIIFPresentation	1.1.0
IIIFPreview	3.0.3
IIIFSearch	3.4.8
IiifSearch	1.0.0
IIIFServer	3.6.26
IIIFViewers	1.2.5
ImageAnnotate	1.0.0
ImageMap	1.0
ImageServer	3.6.20
ImageWithText	1.3.0
ImportIt	0.1.0
InputMethodEditor	1.0
Internationalisation	3.4.15
Interviews	0.0.0
InverseProperties	1.1.1
IsolatedSites	1.0.0
CarouselBrowseBlock	1.4.0
ItemCopy	1.2.0
ItemRelation	0.3.0
ItemSetCalendar	0.3.1
ItemSetParty	0.2.2
ItemSetSearch	1.1.0
ItemSetsGraph	1.1
ItemSetsTree	0.7.3
totalpages	0.1.0
JDC	0.0.11
jQueryParallax	1.0
jQueryUI	1.12.1
Kalturastream	1.1.0
KohaImport	1.2
Ldap	0.2
LDAP	0.5.0
SLearningObject	1.0.0
LessonPlans	1.1
LHDBlang	1.0.0
LHDBlangS	1.0.0
LinkedDataSets	0.2
LocaleSwitch	0.3.0
LocalMediaIngester	0.3.0
LockEdit	3.4.1
Lockout	3.4.5
Log	3.4.30
LogSentry	3.4.2
Maintenance	3.3.3.2
Mapping	2.1.0
Mare	1.0.0
MarcXmlExport	1.0.1
Mason	0.1.1
Matomo	0.2.0
MatomoGroup	0.1.0
MediaArchive	2.1.0
MediaWatermark	1.0
Menu	3.4.10
Mesostiche	0.0.2
MetadataBrowse	1.2.0
MetadataEditor	1.0.0
MetaTags	3.4.6
Mirador	3.4.10
Modelviewer	3.4.3-174
Template	0.0.0
MPCustomInput	0.1.0
Mroongasearch	0.9.0
mroongasearch	1.0.0
dictionnaire	1.0
Ngramsearch	0.1.0
NakalaImporter	0.2.0
NDETermennetwerk	1.2.0
Neatline	0.4.0
Necropolis	0.3.1
NestedDataType	4.0.0
NetworkMap	1.0
Next	3.4.49
NoGoogleChromeFlockTracking	3.4.1
NumericDataTypes	1.12.0
OAIPMHHarvester	3.4.22
OAIPMHRepository	3.4.11
OAIPmhHarvester	0.1
OaiPmhRepositoryMediaPropertyMapper	0.1.0
MediaViewer	0.8.3
OHMSEmbed	1.0.0
OIDC	1.0.1
2Importer	1.2.0
Osii	1.4.0
SBootstrap	1.0.0
starterkit	1.0
twig	0.2.0
ORCIDConnector	1.0.0
OutputFormats	1.0.0
PageBlockIframe	1.0.0
PageBlocks	1.3
PageHitsByItemSet	0.1.2
PdfCreator	3.4.2
PdfEmbedS	1.3.0
PdfText	1.0
PdfToc	2.0
PdfViewer	3.4.4
PerformanceLabRestApi	1.0.0
PersistentIdentifiers	1.1.1
CorporateImage	0.1.0
PersonalNotebook	0.2.0
PlaceFunctions	0.0.0
PropertySearch	1.0.7
Psl	0.1.0
PslSearchForm	0.2.0
PueueJobDispatcher	1.0.6
PyramidImageBuilder	0.1.0
Quark	0.3.1
Rameau	3.4.1
RandomItemsBlock	0.3.0
RdfDatatype	3.0.4.2
Reciprocal	3.4.2
RedactValues	1.1.0
RedirectAfterLogin	0.4.0
Redirector	3.4.1
Reference	3.4.55
RefFormation	0.1.0
Relators	1.0
ResourceMeta	1.1.0
ItemNetworks	0.0.1
ResourceTree	2.1.0
RestrictedSites	2.3
RightsStatements	1.2.1
Robots	1.0.1
RoleBasedNavigation	1.2
S3FileStore	1.1.3
SACO	0.3
Scaping	0.0.3
Scripto	1.5.0
ScriptoIIIF	0.2.0
ScriptoImportContributors	0.2.1
ScriptoPageBlocks	0.1
Search	3.5.25.3
SearchbyVisibility	1.0.0
SearchFilterPlus	1.0.0
SearchHistory	3.4.6
Solr	3.5.13.3
Selection	3.4.14
SemanticModelBuilder	0.1
ServerURLOverride	1.0.1
Services	1.0.0-alpha
ShareMeBaby	1.2.3
Sharing	1.5.0
Shibboleth	3.4.13
Shortcode	3.4.15
Sigil	0.1.0
SimpleBlock	0.1.0
SimpleCarousel	1.3.0
SimpleIIIF	0.1.0-alpha
SimplePDF	1.0.2
SimpleReference	1.0.0
SingleSignOn	3.4.21
SiteLog	0.2.0
Sitemaps	1.1
SiteSlugAsSubdomain	1.0.0
SiteSwitcher	1.0
SkipExtracttext	0.0.1
SolrImprovements	1.0.1-bib0.4.2
Sparql	3.4.6
SpecialCharacterSearch	2.1.0
SruSrwMaker	2.1.0
StaticSiteExport	1.0.0-alpha
Statistics	3.4.11
STest	1.0.0
agilestorymap	3.4.4
Table	3.4.5
Taxonomy	0.9.2
Teams	4.1.0
Thesauri	0.1.0
Thesaurus	3.4.22
ThesaurusOnroerendErfgoedVlaanderen	3.2.0
ThreeDViewer	0.0.0
Tify	1.0
Timeline	3.4.26
Transcript	4.1.1
Translations	3.1.0
TwoFactorAuth	3.4.3
TypesenseSearch	0.4.1
unAPI	1.3.0
UniqueConstraintViolationException	0.1.0
UniqueProperties	0.0.1
UnitedSearch	1.0.0
UnityAPI	
UniversalViewer	3.6.10-4.1.0
UpgradeFromClassic	3.1.3
URIDereferencer	1.4.3
UserNames	1.2
UserProfile	3.4.10
ValueSuggest	1.17.2
ValueSuggestAny	3.4.5
ValueSuggestUpdater	0.1.0
Verovio	3.4.8
VideoThumbnail	2.0.0
ViewerJS	3.4.5-0.7.2
ViewPrivateResources	1.0.2
Vips	3.4.2
Watermarker	1.1.0
WebMonetization	1.0.0
Wikidata	1.5.0.alpha1
XMLViewer	3.4.10
Zip	3.4.3
ZipImport	1.0.0
FiskRosenwaldZiptoBulkImport	0.0.1
ZoteroCitations	1.0.0
ZoteroImport	1.3.0
ZoteroImportplus	2.0.1
