Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka constraint",Author,"Author link",License,Description,Tags,Link,"Support link","Ini path","Last released zip"
AHP,https://github.com/pols12/ahp-theme,,2018-07-15T15:53:37Z,2018-08-12T22:20:08Z,0.5.2,,,Pols12,http://chnm.gmu.edu/,,,,,,,
AIDHP,https://github.com/unolibraries/aidph-omeka,,2017-02-06T21:48:50Z,2018-11-11T11:58:40Z,1.0.0-beta,,,"Jason A. Heppler",http://jasonheppler.org,,,,,,,
BUM,https://github.com/bubdxm/Omeka-S-theme-bxm,,2018-05-30T13:43:58Z,2019-01-11T14:35:14Z,1.1.2,,,"BibLibre, updated by Daniel Berthereau",https://biblibre.com/,,"Omeka S theme for Paris Sciences et Lettres [module Search required]",,https://github.com/biblibre/omeka-s-theme-psl,,,
"Center Row",https://github.com/omeka-s-themes/centerrow,,2016-09-15T16:13:49Z,2019-04-09T17:52:34Z,1.3.0,,,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,,,,,,https://github.com/omeka-s-themes/centerrow/releases/download/v1.4.0/centerrow-v1.4.0.zip
Cozy,https://github.com/omeka-s-themes/cozy,,2016-04-06T21:03:39Z,2019-04-09T17:35:15Z,1.3.0,,,"Roy Rosenzweig Center for History & New Media",http://chnm.gmu.edu/,,,,,,,https://github.com/omeka-s-themes/cozy/releases/download/v1.3.1/cozy-v1.3.1.zip
Default,https://github.com/omeka-s-themes/default,,2016-08-04T03:43:55Z,2018-11-28T21:22:09Z,1.3.0,,,"Roy Rosenzweig Center for History & New Media",http://chnm.gmu.edu/,,,,,,develop/config/theme.ini,https://github.com/omeka-s-themes/default/releases/download/v1.3.0/default-1.3.0.zip
"GPP PoC",https://github.com/kingsdigitallab/omeka-s-gpppoc-theme,,2017-12-14T15:23:04Z,2018-01-18T08:49:15Z,1.0.0,,,"King's Digital Lab",https://kdl.kcl.ac.uk/,,,,,,,
"IIP Default",https://github.com/hxsllc/omekas-iip,,2018-05-14T00:41:53Z,2018-05-14T19:06:42Z,1.1.0,,,"Ben Bakelaar < Roy Rosenzweig Center for History & New Media",http://iip.rutgers.edu/,,,,,,,
Istanbul,https://github.com/hajoki/istanbul,,2017-05-26T13:41:27Z,2017-09-27T14:12:53Z,1.0.0-beta,,,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,,,,,,
"Kanze Archive",https://github.com/nakamura196/omeka-s-theme-kanze,,2018-03-10T11:33:30Z,2018-03-10T11:57:09Z,0.0.1,,,"Satoru Nakamura, BibLibre, updated by Daniel Berthereau",https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top,,"Omeka S theme for kanze archive in the University of Tokyo [module Search required]",,,,,
PSL,https://github.com/biblibre/omeka-s-theme-psl,,2016-09-21T08:08:17Z,2019-03-26T04:52:31Z,0.1,,,BibLibre,https://biblibre.com/,,"Omeka S theme for PSL",,https://github.com/biblibre/omeka-s-theme-psl,,,
"Slavery Images",https://github.com/SlaveryImages/omeka-s-theme-slavery-images,,2018-10-22T15:56:21Z,2019-04-04T18:29:34Z,0.0.1,,,"Brumfield Labs, LLC",https://brumfieldlabs.com/,,,,,,,
"The Daily",https://github.com/omeka-s-themes/thedaily,,2016-09-09T20:43:05Z,2019-04-09T17:42:24Z,1.3.0,,,"Roy Rosenzweig Center for History & New Media",http://chnm.gmu.edu/,,,,,,,https://github.com/omeka-s-themes/thedaily/releases/download/v1.4.0/thedaily-v1.4.0.zip
"UTAAR type B",https://github.com/nakamura196/omeka-s-utaar-b-theme,,2018-03-07T03:58:48Z,2018-03-07T04:06:55Z,0.0.1,,,"Satoru Nakamura, UTokyo Academic Archives Development Project Office",https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top,,"Omeka S theme for default collection of UTokyo Academic Archives Repository [module Universal Viewer required]",,,,,
UTDA,https://github.com/nakamura196/omeka-s-utaar-c-theme,,2018-03-13T13:14:37Z,2018-03-20T01:30:02Z,0.0.1,,,"Satoru Nakamura",https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top,,"Omeka S theme for UTokyo Academic Archives Repository [module Universal Viewer & Search required]",,,,,
