3DHS	2.0
1972S	1.0
AgileBase	1.0
AHP	0.5.2
aidph	1.0.0-beta
AkRep	1.0.0
	0.2
Anwuvbeo	0.1.0
apra	1.4.1
appalachiantrails	0.1
audioBNF	0.0.0
BCDA	0.2
BCDAChild	0.1
Bookshelf	2.2.0
sbootstrap	1.0.0
Bootstrap5	4.0.2
bxm	1.1.2
byuispc	1.0.0
cartoaffect	1.0.2
dlll	0.5.0
SCCSTWlibMalaysia	1.0.0
CDASH	4.0.4
CenterRow	1.8.4
CenterRowLoyola150	1.3.0
centerrowtemple	1.8.1
registry	0.0.1
CollectingTheseTimesSpoke	0.1
Constellations	1.0.0
Cozy	1.6.2
basicdartmouth	1.5.1
historicalaccountabiity	3.2.0
Default	1.9.1
SMarriottLibraryDefault	1.6.0
dharc	0.2
DigitalCollecting	2.0.0
DigitalMuret	2.0.0
dlme	0.0.1
DocArchive	2.1.0
edisem	0.1.3
exhibits	1.1.3
ExploreGrid	1.2.0
FeuilletNumerique	0.0.1
fitaod	1.0.5
fitdf	1.1
fitfc	1.4.7
fitir	1.2.7
Foundation	1.5.3
Freedom	1.0.7
generateur	0.0.0
GenStory	0.0.0
GentGemapt	1.0.5
GPPPoC	1.0.0
HearingTheAmericas	0.0.3
siip	1.1.0
IngloriousArtist	1.0
interviews	0.0.0
Istanbul	1.0.0-beta
JDC	0.0.2
ajotpy	1.0
kanze	0.0.1
Korematsu	1.0.1
ksharp	1.2
LegaciesHub	0.1
Bootstrap	1
Lively	1.0.0
legaciesspoke	0.1
Studycollection	0.0.2
IIP	1.1.0
ObjetsPol	0.1.6
starterkit	0.0.0
lia	1.0.5
OnTheseGrounds	0.1
Papers	1.4.5
pwd	1.1
patrimoniouja	1.1
pdd	1.0.0
psuarts	1.0.0
PolemikaProto	0.0.1
PSL	3.3.6.0
Reanimated	0.1.0
RosenwaldFundCollection	1.7.1
ruzacustom	1.0.0
SlaveryImages	0.0.1
SpeakOut	3.2.1
still	1.8.1
StoryBooth	1.2.0
mitlibraries	1.0
ThanksRoy	1.2.2
TheDaily	1.7.2
sum	4.2.1
UMFAS	1.6.0
UOLibrary	1.3.0
UOLibraryDark	1.3.2
UOH	0.0.1
utaarb	0.0.1
utaarc	0.0.1
X	0.0.1
yultopnav	2.0.0-alpha
YorubaDiaspora	0.0.1
