Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka min","Omeka target",Author,License,Description,Tags,Link,"Support link","Ini path","Last released zip"
500,https://github.com/ualibraries/500,,2017-07-05T12:56:33Z,2021-05-08T23:33:29Z,0.1,,2.5,,"University of Arizona Libraries",,"Currently contains: file and folder structure for templates, universal viewer config, partial logo support, no customizations, no styling.","wip, dark, mysterious",,,,
"911 Digital Archive",https://github.com/chnm/911-theme-omeka,,2014-08-26T19:11:01Z,2022-02-17T22:01:52Z,1.0,,2.0,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Custom theme for 911digitalarchive.org",,,http://omeka.org/forums/forum/themes-and-public-display,,
"1968: Crisis at Columbia",https://github.com/fcd1/1968,,2014-01-13T21:17:14Z,2015-12-01T21:05:30Z,2.0,,2.0,2.0,"Joanna DiPasquale, Fred Duby",GPL,"Faded header, red, gray","minimal, modern, red, gray, 1968, columbia, sans-serif",,,,
Andy,https://github.com/ameyer24/MyOmekaTheme,,2014-10-23T19:33:30Z,2014-11-24T22:47:15Z,2.0.2,,2.2,2.2,"Andy Meyer",GPLv3,"From Scratch.",,,http://omeka.org/forums/forum/themes-and-public-display,,
"Anne Spencer Project",https://github.com/scholarslab/annespencertheme,,2020-10-01T15:57:13Z,2020-11-30T17:10:07Z,2.6.1,,2.5,,"Scholars' Lab",GPLv3,"Theme for the Anne Spencer Project adapted from Omeka Theme Berlin",,,http://omeka.org/forums/forum/themes-and-public-display,,
AOD,https://github.com/fitnycdigitalinitiatives/AOD,,2015-06-16T20:03:10Z,2020-09-04T19:01:11Z,1.0,,2.3,,"Joseph Anderson",GPLv3,"Theme for FIT Library's Archive on Demand. Works by embedding YouTube videos/thumbnails.",,,https://github.com/fitnycdigitalinitiatives/AOD/wiki,,
aod_bootstrap,https://github.com/fitnycdigitalinitiatives/aod_bootstrap,,2016-02-25T21:02:10Z,2017-10-15T17:30:08Z,1.1.1,,2.0,,"Interactive Mechanics",GPLv3,"A starter Omeka theme, built for Omeka v2.2.2, featuring Twitter Boostrap v3.3.2.","b&w, minimal, skeleton, black, white, bootstrap",,https://github.com/InteractiveMechanics,,
apc-omeka-theme,https://github.com/literati/apc-omeka-theme,,2013-02-27T02:31:44Z,2013-03-15T05:24:08Z,0.1,,1.5,1.5.3,"Derick Ostrenko",GPLv3,"A theme for remapping antebllum print culture",,,http://omeka.org/forums/forum/themes-and-public-display,,
"AppState Bootstrap (Empty Test)",https://github.com/candelariajr/omeka_asu_theme,,2018-04-06T10:27:11Z,2022-02-09T21:08:31Z,2.0,,1.4,1.6,"Jonathan Candelaria",GPL,ASU,"minimal, red, blue, sans-serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"Archaebot Database",https://github.com/upenndigitalscholarship/archaebot_database,,2017-05-31T20:45:30Z,2019-05-16T19:53:58Z,2.4,,2.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"A colorful theme with a configuration option to switch style sheets for a particular season, plus 'night'.","yellow, blue, summer, season, fall, orange, green, dark",,http://omeka.org/forums/forum/themes-and-public-display,,
Archaeobib,https://github.com/sashafr/archaeobib,,2018-11-27T21:08:55Z,2022-02-16T22:31:58Z,1.0,,2.5,,"Sasha Renninger",,"Theme for archaeology bibliographies.",,,https://github.com/upenndigitalscholarship/archaeobib/issues,,
Archives,https://github.com/fcd1/archives,,2014-01-13T21:46:19Z,2015-12-01T21:26:32Z,2,,2,2,"Joanna DiPasquale, Fred Duby",GPL,"Rotating header, blue, yellow","minimal, modern, blue, yellow, columbia, sans-serif",,,,
"Area Studies",https://github.com/fcd1/area-studies,,2014-01-13T22:21:43Z,2016-02-22T16:59:00Z,2,,2,2,"Joanna DiPasquale, Fred Duby",GPL,"side box, blue, yellow","minimal, modern, blue, yellow, columbia, sans-serif",,,,
Artevelde,https://github.com/annehaeg/theme-beeldbank,,2017-11-29T14:10:16Z,2018-01-09T19:10:27Z,1.1.1,,2.0,,"Annelien Haeghebaert",GPLv3,"Theme for libraries that are a part of the Artevelde University College.",artevelde,,https://github.com/annehaeg/theme-beeldbank,,
Astrolabe,https://github.com/scholarslab/astrolabe,,2012-11-03T12:06:16Z,2020-11-17T15:13:44Z,1.0-rc.2,1.0-rc.2,2.0,,"Scholars' Lab","Apache 2.0","A theme based on the design for neatline.org",,,http://github.com/scholarslab/astrolabe/issues,,
Avantgarde,https://github.com/athenachrista/avantgarde,,2015-06-10T23:50:06Z,2018-11-13T01:20:21Z,1,,2.2,,"Edward M. @ Emedara Studio",GPLv3,"Modern responsive theme based on Berlin.",,,https://github.com/Edward-M/omeka-avantgarde/issues,,
AvantTheme,https://github.com/gsoules/AvantTheme,,2018-02-23T13:42:54Z,2021-10-24T16:20:01Z,1.1,,2.5,2.6,"George Soules, AvantLogic",GPLv3,"A theme designed to work well with AvantSearch and AvantRelationships. Replaces the Omeka search box with controls for AvantSearch. Also supports image zooming using OpenSeadragon",,,https://github.com/gsoules/avant,,https://github.com/gsoules/AvantTheme/releases/download/v2.0.0/AvantTheme-v2.0.0.zip
BADAC,https://github.com/badac/BADAC,,2017-10-10T20:00:02Z,2018-10-23T07:18:32Z,2.3.1,,2.3,,"Andrés Pardo Rodríguez BADAC",GPLv3,"BADACresponsive theme based on Berlin.",,,http://omeka.org/forums/forum/themes-and-public-display,,
bannerstone,https://github.com/fitnycdigitalinitiatives/bannerstone,,2018-02-14T22:08:35Z,2019-12-02T18:30:30Z,1,,2.0,,"FIT Library",GPLv3,"Theme for Archaic Bannerstone Project built on Twitter Bootstrap 4",,,,,
basic,https://github.com/JonathanReeve/theme-basic2,,2013-08-07T18:10:37Z,2013-12-22T08:46:49Z,1.3,,1.3-dev,1.3-dev,Unknown,GPL,"Omeka basic theme.",basic,,,,
