Name,Url,"Creation Date","Last Update","Last Version",Upgradable,"Min Version","Max Version",Module,"Module Url",Note,Omeka.org,"Omeka Min","Omeka Target",Author,License,Description,Tags,Link,"Support Link","Required Plugins","Optional Plugins","Ini Path"
"Access Keys",https://github.com/AccessibleFuture/AccessKeys-Omeka,2013-10-08T17:38:23Z,2013-10-28T20:12:42Z,1.2,,,,,,,,2.0,2.0,"AccessibleFutures.org / Cory Bohon",,"Allows an Omeka administrator to specify site-wide keyboard shortcuts for blind or visually impaired end users.","accessibility, access keys, universal access, accessiblefutures.org, braillesc.org, cory bohon",http://accessiblefutures.org/plugins.html,,,,
"Add Item Link",https://github.com/lmullen/plugin-AddItem,2013-03-26T03:24:11Z,2013-04-10T13:20:18Z,0.1,,,,,,,0.1,2.0,,"Lincoln A. Mullen",GPLv3,"Add an add item link to the admin bar",,https://github.com/lmullen/plugin-AddItem,https://github.com/lmullen/plugin-AddItem/issues,,,
"Add Subtitle",https://github.com/annamichelle/AddSubtitle,2014-11-12T21:56:57Z,2014-11-13T17:06:06Z,0.1.0,,,,,,,,2.0,,"Anna Michelle Martinez-Montavon",GPLv3,"Add a field to the Exhibit database table. (You'll have to make changes in Exhibit Builder to be able to access and make changes to this field, sorry.)","metadata, exhibits",http://omeka.org/,http://omeka.org/forums/,,,
AddThis,https://github.com/libis/plugin-AddThis,2013-03-06T09:12:28Z,2014-01-15T14:18:36Z,0.1,Yes,,,Sharing,https://github.com/omeka-s-modules/Sharing,"Only common social networks (Facebook, Twitter, Pinterest, Tumblr, email) and embed, but not AddThis.",,1.0,1.3.2,Libis,,"Adds the Addthis button/script to Omeka","social, presentation",,,,,
"Admin Analytics",https://github.com/ebellempire/AdminAnalytics,2016-10-13T20:21:05Z,2016-10-13T20:21:56Z,1.0,Yes,,,"Analytics Snippet",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippet,"Analytics Snippet supports public and admin side of the site, together or separately.",,2.0,2.4,"Erin Bell",GPLv3,"An Omeka  plugin that tracks usage of the admin panel, potentially useful for project managers and teachers who wish to track logins and usage patterns.","google analytics, analytics, users, admin",http://erinbell.org,https://support.google.com/analytics/answer/3123666,,,
"Admin Images",https://github.com/UCSCLibrary/AdminImages,2015-03-13T18:14:54Z,2017-11-28T18:48:29Z,1.3,Yes,,,[Integrated],,"Assets in Omeka S.",1.3,2.1,,"UC Santa Cruz University Library",GPLv3,"This Omeka 2.0+ plugin allows administrators to upload images not attached to items for use in carousels and simple pages",,https://github.com/UCSCLibrary/AdminImages,https://github.com/UCSCLibrary/AdminImages/issues,,,
"Admin User Management",https://github.com/lib-uoguelph-ca/omeka-admin-user-management,2016-04-15T17:52:38Z,2016-04-15T17:55:59Z,1.0,,,,,,,,2.0,,"Adam Doan",GPLv3,"Allows administrative users to manage users.",acl,https://github.com/lib-uoguelph-ca/omeka-admin-user-management,https://github.com/lib-uoguelph-ca/omeka-admin-user-management/issues,,,
"Advanced Search Element Order",https://github.com/GerZah/plugin-AdvSearchElementOrder,2016-02-10T17:22:03Z,2016-02-10T17:24:44Z,1.0,,,,,,,,2.0,,"Gero Zahn",GPLv3,"Reorder elements in Advanced Search dropdown box according to their element types.",,,,,,
"Ajax Create",https://github.com/omeka/plugin-AjaxCreate,2010-04-10T14:02:39Z,2011-09-15T17:26:15Z,0.1,,,,,,,,1.0,1.0,CHNM,GPL,"Adds way to quickly create records via ajax",utility,http://omeka.org/addons/AjaxCreate,http://omeka.org/forums/forum/plugins,,,
"Amazon S3 Storage Adapter",https://github.com/EHRI/omeka-amazon-s3-storage-adapter,2016-11-01T11:23:29Z,2016-11-10T14:32:47Z,0.2,,,,,,,,2.0,,EHRI,"European Union Public Licence (EUPL) v1.1","Storage adapter for Amazon S3 based on the official AWS SDK.",,https://github.com/EHRI/omeka-amazon-s3-storage-adapter,,,,
Analytics,https://github.com/digihum/omeka-plugin-analytics,2016-11-21T13:45:52Z,2016-11-21T13:48:49Z,0.8,Yes,,,"Analytics Snippet",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippet,"Analytics Snippet manages submodules that can ping any analytics system. See an example for Piwik [Analytics Snippet - Piwik].",,2.0,,"Tim Hollies",GPLv3,"Adds more advanced Google Analytics tracking to Omeka",,https://actechlab.warwick.ac.uk/,https://actechlab.warwick.ac.uk/,,neatline,
"Analytics Dimensions",https://github.com/BGSU-LITS/omeka-plugin-AnalyticsDimensions,2015-04-21T14:15:05Z,2015-08-04T18:02:14Z,1.0,Yes,,,"Analytics Snippet",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippet,"Analytics Snippet manages submodules that can ping any analytics system. See an example for Piwik [Analytics Snippet - Piwik].",,2.3,,"Bowling Green State University Libraries",MIT,"Google Analytics with dimensions for collections and exhibits.",,https://github.com/BGSU-LITS/omeka-plugin-AnalyticsDimensions,https://github.com/BGSU-LITS/omeka-plugin-AnalyticsDimensions/issues,,,
Annotate,https://github.com/omeka/plugin-Annotate,2012-02-21T21:10:45Z,2012-03-06T15:05:58Z,1.0,,,,,,,,,,"Center for History and New Media",,"Adds user favoriting and note taking to Omeka Items.",,,,,GuestUser,
Annotations,https://github.com/literati/Annotations,2012-09-07T02:57:32Z,2012-10-15T02:12:58Z,0.0.1,,,,,,,,,1.5.3,"integration by Jason Peak","??? MIT",https://github.com/okfn/annotator,,,,,,
Annotator,https://github.com/ebellempire/Annotator,2015-11-10T22:15:55Z,2017-11-01T19:25:16Z,1.0.1,,,,,,,,2.0,2.5.1,"Erin Bell",GPLv3,"Adds hypothes.is scripts to Omeka items and collections, allowing registered hypothes.is users to highlight and annotate text.","comments, annotation, annotator, annotatorjs, hypothesis, social, text",https://hypothes.is/,https://hypothes.is/,,,
"Architecture Analyse Type",https://github.com/pixight/Omeka-ArchitectureAnalyse,2014-11-03T10:25:16Z,2014-11-03T19:46:58Z,0.1,Yes,,,[Integrated],,"Vocabularies are now standardized and importable directly (rdf).",,1.2,2.1,Pxg,GPLv3,"Add a new type 'Architecture d'analyse' to Omeka. This type is composed of elements","element sets, custom type",,,,,
"Archive Document",https://github.com/Daniel-KM/ArchiveDocument,2015-08-27T08:15:04Z,2017-03-01T18:03:28Z,2.4.1,,,,,,,,2.2.2,,"Daniel Berthereau","CeCILL v2.1","The format of the documents that is used internally by OAI-PMH Static Repository and some other plugins.",format,https://github.com/Daniel-KM/ArchiveDocument,https://github.com/Daniel-KM/ArchiveDocument/issues,,,
"Archive Folder",https://github.com/Daniel-KM/ArchiveFolder,2016-01-25T20:53:56Z,2017-02-21T09:26:25Z,2.7,Yes,,,"Archive Folder",https://github.com/biblibre/omeka-s-module-ArchiveFolder,,,2.2.2,,"Daniel Berthereau","CeCILL v2.1","Automatically import a local or remote folder into Omeka as collections, items, files, and metadata.","archive, repository, import",https://github.com/Daniel-KM/ArchiveFolder,https://github.com/Daniel-KM/ArchiveFolder/issues,,"ArchiveRepertory, DublinCoreExtended, OcrElementSet",
