Name,Url,"Creation Date","Last Update","Last Version",Omeka.org,"Omeka Constraint",Author,"Author Link",License,Description,Tags,Link,"Support Link","Ini Path"
"Archive Folder",https://github.com/biblibre/omeka-s-module-ArchiveFolder,2016-03-24T16:04:23Z,2016-03-24T16:04:46Z,2.4,,,"Daniel Berthereau",,,"Automatically import a local or remote folder into Omeka as collections, items, files, and metadata.",,https://github.com/Daniel-KM/ArchiveFolder,,
"Archive Repertory",https://github.com/Daniel-KM/Omeka-S-module-ArchiveRepertory,2017-03-28T11:16:01Z,2017-03-29T07:21:30Z,3.15,,^1.0.0-beta4,"Daniel Berthereau, Omeka S port by BibLibre",https://github.com/Daniel-KM,"CeCILL v2.1","Keeps original names of imported files and put them in a hierarchical structure (collection / item / files) in order to get readable urls for files and to avoid an overloading of the file server.","file, path, import",https://github.com/Daniel-KM/Omeka-S-module-ArchiveRepertory,https://github.com/Daniel-KM/Omeka-S-module-ArchiveRepertory/issues,
Ark,https://github.com/biblibre/omeka-s-module-Ark,2016-09-14T12:19:28Z,2016-09-14T12:22:11Z,0.1.1,,>=v1.0.0-beta3,BibLibre,https://github.com/biblibre,,"Create short, unique, meaningless, universal and persistent identifiers (ark and/or noid) and use them as urls for records.",,https://github.com/biblibre/omeka-s-module-Ark,,
Basket,https://github.com/biblibre/omeka-s-module-Basket,2016-09-20T14:39:48Z,2016-09-20T14:41:51Z,0.2.0,,,,,,"Allow user to add basket",,https://github.com/biblibre/Basket,,
"Clean Url",https://github.com/Daniel-KM/Omeka-S-module-CleanUrl,2017-04-04T11:42:23Z,2017-04-04T12:15:34Z,3.15.2,,^1.0.0-beta4,"Daniel Berthereau, Omeka S port by BibLibre",https://github.com/Daniel-KM,"CeCILL v2.1","Displays clean, seo and readable URLs like https://example.org/first_collection/dc:identifier.","url, route, SEO",https://github.com/biblibre/omeka-s-module-CleanUrl,https://github.com/biblibre/omeka-s-module-CleanUrl/issues,
COinS,https://github.com/biblibre/omeka-s-module-Coins,2016-03-15T15:20:50Z,2016-03-15T15:21:39Z,2.0.3,,,"Roy Rosenzweig Center for History and New Media (Omeka S port by BibLibre)",https://chnm.gmu.edu/,GPLv3,"Adds COinS metadata to item pages, making them Zotero readable.","metadata, zotero",https://github.com/biblibre/omeka-s-module-Coins,,
Collecting,https://github.com/omeka-s-modules/Collecting,2015-07-30T23:23:08Z,2016-06-20T18:18:12Z,1.0.0-beta4,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Add collecting forms to your sites.",,,https://forum.omeka.org/c/omeka-s/modules,
"CSS Editor",https://github.com/biblibre/omeka-s-module-CSSEditor,2016-03-16T17:55:26Z,2016-11-07T12:11:56Z,1.0.1,,,"Roy Rosenzweig Center for History and New Media",,,"Add public CSS styles through the admin interface.",,http://omeka.org/codex/Plugins/CSS_Editor,,
"CSV Import",https://github.com/omeka-s-modules/CSVImport,2015-07-30T23:24:12Z,2017-04-25T13:14:16Z,1.0.0-beta2,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Import content from a CSV file.",,,https://forum.omeka.org/c/omeka-s/modules,
"Custom Vocab",https://github.com/omeka-s-modules/CustomVocab,2016-01-26T17:52:19Z,2016-01-26T17:54:38Z,1.0.0-beta2,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Describe your resources using vocabularies you create.",,,https://forum.omeka.org/c/omeka-s/modules,
"Dspace Connector",https://github.com/omeka-s-modules/DspaceConnector,2015-03-02T23:56:03Z,2016-02-19T21:01:35Z,0.4.0-alpha,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Connect Omeka S to DSpace repositories.",,,https://forum.omeka.org/c/omeka-s/modules,
"Easy Install",https://github.com/Daniel-KM/Omeka-S-module-EasyInstall,2017-03-06T13:24:17Z,2017-06-06T20:28:56Z,3.1.4,,^1.0.0-beta4,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Plugin for installing plugins and themes from the web (https://github.com and https://gitlab.com).","utility, admin",https://github.com/Daniel-KM/Omeka-S-module-EasyInstall,https://github.com/Daniel-KM/Omeka-S-module-EasyInstall/issues,
"Fedora Connector",https://github.com/omeka-s-modules/FedoraConnector,2015-04-03T17:25:30Z,2016-02-19T21:13:37Z,0.1.2-alpha,,,"Roy Rosenzweig Center for History & New Media",,,"Connect Omeka S to Fedora 4 repositories.",,,,
"File Sideload",https://github.com/omeka-s-modules/FileSideload,2015-07-30T23:24:30Z,2016-10-25T18:06:27Z,1.0.0-beta2,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Add files that are already on your server to items.",,,https://forum.omeka.org/c/omeka-s/modules,
Folksonomy,https://github.com/Daniel-KM/Omeka-S-module-Folksonomy,2017-05-08T04:31:56Z,2017-05-08T09:31:59Z,3.3.2,,^1.0.0-beta4,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Add tags and tagging form to any resource to create uncontrolled vocabularies and tag clouds.","tag, contribution, folksonomy, tagging",https://github.com/Daniel-KM/Omeka-S-module-Folksonomy,https://github.com/Daniel-KM/Omeka-S-module-Folksonomy/issues,
"Guest User",https://github.com/biblibre/omeka-s-module-GuestUser,2016-05-18T09:55:10Z,2016-05-18T09:59:35Z,0.1,,>=1.0.0-beta3,Biblibre,,,"Adds a guest user role. Can't access backend, but allows plugins to use an authenticated user",,https://github.com/biblibre/omeka-s-module-GuestUser,,
IdRef,https://github.com/biblibre/omeka-s-module-IdRef,2016-09-13T09:26:03Z,2016-09-13T09:26:28Z,0.1.0,,,BibLibre,https://github.com/biblibre,,"Add IdRef data type",,https://github.com/biblibre/omeka-s-module-IdRef,,
IIIFHosting,https://github.com/klokantech/omeka-s-module-IIIFHosting,2017-05-09T15:14:10Z,2017-05-23T12:45:14Z,1.0.0-beta,,^1.0.0-beta3,Klokantech,http://www.klokantech.com/,,"IIIFHosting connector",,,https://github.com/klokantech/omeka-s-module-IIIF,
"IIIF Server",https://github.com/Daniel-KM/Omeka-S-module-IiifServer,2017-03-06T12:04:44Z,2017-05-14T05:14:51Z,3.5.5,,^1.0.0-beta4,"Daniel Berthereau, Omeka S port by BibLibre",https://github.com/Daniel-KM,"CeCILL v2.1","Integrates the IIIF specifications and a simple IIP Image Server to allow to process and share instantly images of any size and medias (pdf, audio, video, 3D...) in the desired formats.","specification, standard, share",https://github.com/Daniel-KM/Omeka-S-module-IiifServer,https://github.com/Daniel-KM/Omeka-S-module-IiifServer/issues,
"Item Sets Tree",https://github.com/biblibre/omeka-s-module-ItemSetsTree,2016-06-10T09:57:50Z,2016-06-10T09:59:48Z,2.0.2,,,"Roy Rosenzweig Center for History and New Media",,,"Gives administrators the ability to create a hierarchical tree of their collections.",,http://omeka.org/codex/Plugins/CollectionTree_2.0,,
jQueryUI,https://github.com/biblibre/omeka-s-module-jQueryUI,2016-05-12T13:52:19Z,2016-05-12T13:52:37Z,1.12.0,,,BibLibre,,,"Add jQueryUI",,https://github.com/biblibre/omeka-s-module-jQueryUI,,
Ldap,https://github.com/digihum/omeka-s-ldap,2016-12-12T11:24:57Z,2016-12-12T11:26:47Z,0.2,,^1.0.0-beta2,"Tim Hollies",http://warwick.ac.uk/digitalhumanities,,"Authenticate Omeka-S users with LDAP",,,,
Lockout,https://github.com/Daniel-KM/Omeka-S-module-Lockout,2017-06-08T10:19:00Z,2017-06-08T10:27:50Z,3.2,,^1.0.0-beta4,"Daniel Berthereau (port of Johan Eenfeldt's plugin for WordPress)",https://github.com/Daniel-KM,"CeCILL v2.1","Limit rate of login attempts for each IP to avoid brute-force attacks.","login, security, authentication",https://github.com/Daniel-KM/Omeka-S-module-Lockout,,
Mapping,https://github.com/omeka-s-modules/Mapping,2016-03-16T20:35:19Z,2017-04-25T20:43:12Z,1.0.0-beta4,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Add location info to your items and sites.",,,https://forum.omeka.org/c/omeka-s/modules,
"Metadata Browse",https://github.com/omeka-s-modules/MetadataBrowse,2015-07-30T23:23:54Z,2016-02-22T18:31:20Z,1.0.0-beta2,,^1.0.0-beta2,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Adds a link to same results for metadata values.",,https://github.com/omeka-s-modules/MetadataBrowse,https://forum.omeka.org/c/omeka-s/modules,
"OAI-PMH Repository",https://github.com/biblibre/omeka-s-module-OaiPmhRepository,2016-12-15T16:20:39Z,2016-12-15T16:21:17Z,0.2.2,,,BibLibre,https://github.com/biblibre,,"Exposes Omeka items as an OAI-PMH repository.",,https://github.com/biblibre/omeka-s-module-OaiPmhRepository,,
"Omeka 2 Importer",https://github.com/omeka-s-modules/Omeka2Importer,2015-07-14T16:42:23Z,2016-02-09T20:58:45Z,1.0.0-beta,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Import content from an Omeka 2 site via its API.",,,https://forum.omeka.org/c/omeka-s/modules,
"Omeka Starter Kit",https://github.com/stephenwf/omeka-module-starter-kit,2017-03-31T12:27:08Z,2017-06-18T17:07:45Z,1.0,,^1.0.0,"Stephen Fraser",https://github.com/stephenwf,,"Developer friendly example of Omeka module",,https://github.com/stephenwf/omeka-module-starter-kit,,
"Omeka Twig",https://github.com/digihum/omeka-s-twig,2017-01-06T10:13:46Z,2017-03-06T16:42:12Z,0.2.0,,^1.0.0-beta,"Tim Hollies",http://warwick.ac.uk/digitalhumanities,,"Use twig templates in Omeka-S themes",,,,
Psl,https://github.com/biblibre/omeka-s-module-Psl,2016-12-20T13:07:23Z,2016-12-20T13:07:46Z,0.1.0,,,BibLibre,https://github.com/biblibre,,"Various things specific to PSL",,https://github.com/biblibre/omeka-s-module-Psl,,
PslSearchForm,https://github.com/biblibre/omeka-s-module-PslSearchForm,2016-06-15T14:33:57Z,2016-06-29T14:37:37Z,0.1,,,BibLibre,,,"PSL search form",,https://github.com/biblibre/omeka-s-module-PslSearchForm,,
"Rights Statements",https://github.com/zerocrates/RightsStatements,2016-04-15T03:26:29Z,2016-04-15T03:27:05Z,0.1.1,,>=0.6.2-alpha,"John Flatness",https://github.com/zerocrates,,,,,,
Search,https://github.com/biblibre/omeka-s-module-Search,2016-04-29T12:07:18Z,2016-11-29T15:48:15Z,0.2.0,,>=1.0.0-beta3,BibLibre,https://github.com/biblibre,,"Add search capabilities to Omeka S",,https://github.com/biblibre/omeka-s-module-Search,,
