Name,Url,"Creation Date","Last Update","Last Version",Omeka.org,"Omeka Min","Omeka Target",Author,License,Description,Tags,Link,"Support Link","Ini Path"
AOD,https://github.com/fitnycdigitalinitiatives/AOD,2015-06-16T20:03:10Z,2016-04-26T21:07:05Z,1.0,,2.3,,"Joseph Anderson",GPLv3,"Theme for FIT Library's Archive on Demand. Works by embedding YouTube videos/thumbnails.",,,https://github.com/fitnycdigitalinitiatives/AOD/wiki,
Astrolabe,https://github.com/scholarslab/astrolabe,2012-11-03T12:06:16Z,2014-01-14T21:05:48Z,1.0-rc.2,1.0-rc.2,2.0,,"Scholars' Lab","Apache 2.0","A theme based on the design for neatline.org",,,http://github.com/scholarslab/astrolabe/issues,
Avantgarde,https://github.com/Edward-M/Omeka-Avantgarde,2015-02-22T11:48:47Z,2016-10-22T21:20:34Z,1,1,2.2,,"Edward M. @ Emedara Studio",GPLv3,"Modern responsive theme based on Berlin.",,,https://github.com/Edward-M/omeka-avantgarde/issues,
Berlin,https://github.com/omeka/theme-berlin,2011-07-06T16:29:51Z,2016-12-12T19:07:30Z,2.4,2.4,2.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"Abstraction of the Making the History of 1989 theme.",,,http://omeka.org/forums/forum/themes-and-public-display,
"Big Picture",https://github.com/omeka/theme-bigpicture,2017-01-12T07:26:45Z,2017-01-12T07:29:26Z,0.1,,2.1.4,,"Roy Rosenzweig Center for History and New Media",GPLv3,"A new Omeka theme.","minimal, san serif, beginner",,http://github.com/you/your-theme,
BigStuff,https://github.com/charvolant/bigstuff,2015-12-19T11:50:46Z,2017-01-08T12:29:11Z,1.0,1.0,2.3,,"Doug Palmer",GPLv3,"Theme for use with conference papers, based on Berlin.",,,http://github.org/charvolant/bigstuff/issues,
Bootstrap,https://github.com/Daniel-KM/omeka-bootstrap,2014-04-06T05:55:58Z,2017-03-17T16:32:35Z,2.2.1,,2.2.2,,"Daniel Berthereau (based on a work of Garrick S. Bodine and Amanda Regan)","GPL v3","A grid-based theme based on the Twitter Bootstrap framework (http://twitter.github.com/bootstrap). Based on the Omeka Boostrap theme by Garrick S. Bodine for https://mbda.berry.edu, updated by Daniel Berthereau, and by Amanda Regan for https://www.wearinggayhistory.com.","grid, bootstrap, responsive",,https://github.com/Daniel-KM/Omeka-Bootstrap/issues,
"Center Row",https://github.com/omeka/theme-centerrow,2016-05-13T19:39:52Z,2016-05-13T19:44:31Z,.1,,2.3,2.3,"Roy Rosenzweig Center for History and New Media",GPLv3,"Image-oriented theme for Omeka. This theme does not support nested top navigation.",,,http://omeka.org/forums/forum/themes-and-public-display,
Curatescape,https://github.com/CPHDH/theme-curatescape,2013-04-15T18:04:11Z,2016-10-25T14:45:30Z,2.2.2,,2.1,2.4,"Erin Bell",GPL,"Responsive, mobile-first theme for Curatescape projects.","Curatescape, mobile-first, responsive, smartphone, tablet, configurable, custom css, apps, maps",,,master/curatescape/theme.ini
Dark,https://github.com/omeka/theme-dark,2011-07-06T16:32:26Z,2014-03-29T10:02:54Z,1.3,,1.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"A theme in shades of gray and black.",,,http://omeka.org/forums/forum/themes-and-public-display,
DBVa,https://github.com/LibraryofVA/omeka-themes,2014-06-30T13:19:42Z,2015-10-04T15:53:04Z,1.0,,2.2,,"Library of Virginia",GPLv3,"A theme developed for use with the Library of Virginia's Document Bank of Virginia. Theme is built upon the Roy Rosenzweig Center for History and New Media Season Theme version 2.2.1.",lva,,https://github.com/LibraryofVA/omeka-themes,master/dbva/theme.ini
Deco,https://github.com/themattscott/Deco,2012-03-22T23:23:02Z,2015-04-14T14:10:47Z,0.9.6.4,,1.3,1.4,E.Bell,GPL,"Configurable theme with featured image gallery (Awkward Showcase) on homepage and built-in lightbox (FancyBox) on items/show pages, plus lots of other configurable theme options, including custom homepage text, switchable stylesheets, and more. Also includes some basic theme styling for the Exhibit Builder and MyOmeka plugins, as well as handy inclusion of DocsViewer template code.  Based loosely on Berlin theme by Jeremy Boggs and Ken Albers.","clean, sans-serif, theme options, configurable",,,master/deco/theme.ini
"DH @ Harvard",https://github.com/jaguillette/hvd-dh-omeka-theme,2016-03-24T18:43:34Z,2016-10-26T19:39:19Z,2.3,,2.3,,"DH @ Harvard",GPLv3,"Based on the Berlin theme from Roy Rosenzweig Center for History and New Media.",,,http://omeka.org/forums/forum/themes-and-public-display,
Emancipation,https://github.com/LibraryofVA/omeka-themes/,2014-06-30T13:19:42Z,2015-10-04T15:53:04Z,1.0.0,,2.0,,"Jason Roma",GPLv3,"Thanks Roy theme altered for use with Library of Virginia online exhibition, Emancipation","black, white, serif",,,master/emancipation/theme.ini
